,Country/Territory,Cases,Deaths,Recoveries
0,United States,103436829,1127152,0
1,Mexico,7633355,334336,0
2,Canada,4697504,53147,0
3,Guatemala,1276886,20257,1255190
4,Puerto Rico,1252713,5938,0
5,Costa Rica,1238883,9428,0
6,Cuba,1115064,8530,1104098
7,Panama,1047321,8652,0
8,Dominican Republic,667048,4384,0
9,Honduras,474566,11127,0
10,Martinique,230354,1104,0
11,Guadeloupe,203235,1021,0
12,El Salvador,201785,4230,179410
13,Trinidad and Tobago,191496,4390,0
14,Jamaica,156536,3631,103180
15,Barbados,110086,630,0
16,Belize,70782,688,0
17,Curaçao,45883,305,0
18,Aruba,44224,292,0
19,Bahamas,38003,844,36811
20,Haiti,34306,860,33372
21,Cayman Islands,31472,37,0
22,Saint Lucia,30052,409,29095
23,United States Virgin Islands,25708,132,25556
24,Grenada,19693,238,0
25,Bermuda,18860,165,18685
26,Dominica,15760,74,15673
27,Nicaragua,15984,245,0
28,Collectivity of Saint Martin,12324,46,0
29,Greenland,11971,21,0
30,Sint Maarten,11051,92,10932
31,Bonaire,9864,33,0
32,Saint Vincent and the Grenadines,9631,124,9493
33,Antigua and Barbuda,9106,146,0
34,British Virgin Islands,7305,64,0
35,Saint Kitts and Nevis,6607,48,6559
36,Turks and Caicos Islands,6565,38,6509
37,Saint Barthélemy,5507,5,0
38,Anguilla,3904,12,3849
39,Saint Pierre and Miquelon,3426,2,0
40,Montserrat,1403,8,1376
41,Sint Eustatius,1221,6,1159
42,Saba,837,2,0
43,Total,49457037,1014111,38438299
